time,size
1.032,small
0.636,small
0.739,small
0.516,small
0.646,small
0.553,small
0.577,small
0.636,small
0.6,small
1.398,small
0.701,small
0.53,small
0.564,small
0.578,small
0.485,small
0.634,small
0.562,small
0.645,small
0.515,small
0.763,small
0.708,small
0.599,small
0.66,small
0.418,small
0.444,small
0.481,small
0.472,small
0.579,small
0.59,small
0.647,small
0.622,medium
0.67,medium
0.491,medium
0.527,medium
0.529,medium
0.59,medium
0.657,medium
0.587,medium
0.563,medium
0.624,medium
0.601,medium
0.576,medium
0.634,medium
0.542,medium
0.516,medium
0.721,medium
0.492,medium
0.552,medium
0.666,medium
0.541,medium
0.436,medium
0.447,medium
0.448,medium
1.016,medium
0.551,medium
0.486,medium
0.565,medium
0.588,medium
0.543,medium
0.589,medium
0.472,large
0.449,large
0.531,large
0.574,large
0.494,large
0.45,large
0.543,large
0.484,large
0.564,large
0.775,large
0.493,large
0.575,large
0.471,large
1.129,large
0.473,large
0.448,large
0.506,large
0.445,large
0.423,large
0.574,large
0.508,large
1.52,large
0.505,large
0.459,large
0.425,large
0.424,large
0.484,large
0.46,large
1.038,large
0.506,large
0.494,extra large
1.307,extra large
0.493,extra large
0.458,extra large
0.717,extra large
0.447,extra large
0.706,extra large
0.377,extra large
0.505,extra large
0.612,extra large
0.472,extra large
0.38,extra large
0.461,extra large
0.435,extra large
0.421,extra large
0.426,extra large
0.414,extra large
0.503,extra large
0.458,extra large
0.505,extra large
0.944,extra large
0.435,extra large
0.415,extra large
0.413,extra large
0.436,extra large
0.414,extra large
0.461,extra large
0.459,extra large
0.389,extra large
0.439,extra large
